Ort,PLZ,Gemeindename,Kanton,Sprache
Lausanne 25,1000,Lausanne,VD,fr
Lausanne 26,1000,Lausanne,VD,fr
Lausanne 27,1000,Lausanne,VD,fr
Lausanne,1003,Lausanne,VD,fr
Lausanne,1004,Lausanne,VD,fr
Lausanne,1005,Lausanne,VD,fr
Lausanne,1006,Lausanne,VD,fr
Lausanne,1007,Lausanne,VD,fr
Jouxtens-Mézery,1008,Jouxtens-Mézery,VD,fr
Prilly,1008,Prilly,VD,fr
Pully,1009,Pully,VD,fr
Lausanne,1010,Lausanne,VD,fr
Lausanne,1011,Lausanne,VD,fr
Lausanne,1012,Lausanne,VD,fr
Lausanne,1015,Lausanne,VD,fr
Lausanne,1018,Lausanne,VD,fr
Renens VD,1020,Renens (VD),VD,fr
Chavannes-près-Renens,1022,Chavannes-près-Renens,VD,fr
Crissier,1023,Crissier,VD,fr
Ecublens VD,1024,Ecublens (VD),VD,fr
St-Sulpice VD,1025,Saint-Sulpice (VD),VD,fr
Denges,1026,Denges,VD,fr
Echandens,1026,Echandens,VD,fr
Lonay,1027,Lonay,VD,fr
Préverenges,1028,Préverenges,VD,fr
Villars-Ste-Croix,1029,Villars-Sainte-Croix,VD,fr
Bussigny,1030,Bussigny,VD,fr
Mex VD,1031,Mex (VD),VD,fr
Romanel-sur-Lausanne,1032,Romanel-sur-Lausanne,VD,fr
Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,VD,fr
Boussens,1034,Boussens,VD,fr
Bournens,1035,Bournens,VD,fr
Sullens,1036,Sullens,VD,fr
Etagnières,1037,Etagnières,VD,fr
Bercher,1038,Bercher,VD,fr
Echallens,1040,Echallens,VD,fr
St-Barthélemy VD,1040,Saint-Barthélemy (VD),VD,fr
Villars-le-Terroir,1040,Villars-le-Terroir,VD,fr
Bottens,1041,Bottens,VD,fr
Poliez-Pittet,1041,Poliez-Pittet,VD,fr
Dommartin,1041,Montilliez,VD,fr
Naz,1041,Montilliez,VD,fr
Poliez-le-Grand,1041,Montilliez,VD,fr
Montaubion-Chardonney,1041,Jorat-Menthue,VD,fr
Bettens,1042,Bettens,VD,fr
Assens,1042,Assens,VD,fr
Bioley-Orjulaz,1042,Bioley-Orjulaz,VD,fr
Sugnens,1043,Montilliez,VD,fr
Fey,1044,Fey,VD,fr
Ogens,1045,Ogens,VD,fr
Rueyres,1046,Rueyres,VD,fr
Oppens,1047,Oppens,VD,fr
Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,VD,fr
Bretigny-sur-Morrens,1053,Bretigny-sur-Morrens,VD,fr
Cugy VD,1053,Cugy (VD),VD,fr
Morrens VD,1054,Morrens (VD),VD,fr
