Vorname,Total
Maria,80995
Anna,41172
Sandra,34819
Ursula,34552
Ruth,33215
Elisabeth,33200
Monika,31865
Claudia,30333
Nicole,29398
Verena,28998
Barbara,27898
Silvia,26729
Andrea,26612
Daniela,25331
Marie,24271
Christine,23848
Karin,22850
Marianne,22353
Laura,21226
Brigitte,20323
Sarah,20285
Erika,20281
Susanne,20133
Rita,19772
Margrit,19697
Katharina,19051
Esther,18305
Anita,18004
Manuela,17908
Rosmarie,17735
Heidi,17585
Sara,16551
Beatrice,16298
Doris,16263
Sonja,16161
Yvonne,15659
Jacqueline,15053
Rosa,14964
Ana,14959
Julia,14539
Irene,14244
Franziska,14122
Eva,13983
Martina,13943
Cornelia,13900
Gabriela,13885
Fabienne,13821
Gertrud,13811
Patricia,13561
Alexandra,13543
Isabelle,13482
Sabrina,13466
Nathalie,13324
Melanie,12827
Edith,12805
Corinne,12754
Angela,12540
Elena,12388
Nadine,12217
Alice,11683
Jessica,11648
Vanessa,11517
Nina,11153
Sophie,10998
Emma,10889
Denise,10868
Lara,10768
Anne,10644
Simone,10562
Lea,10545
Caroline,10532
Regula,10528
Carmen,10344
Tanja,10305
Susanna,10221
Catherine,10046
Sabine,9981
Petra,9866
Céline,9813
Jasmin,9736
Stefanie,9565
Nadia,9455
Tamara,9447
Chantal,9200
Therese,9191
Marina,9110
Johanna,9086
Michelle,9028
Christina,8880
Lisa,8778
Rahel,8574
Monique,8331
Adelheid,8192
Anja,8084
Janine,8077
Diana,8059
Martha,8025
Dora,7903
Chiara,7826
Pia,7813
Charlotte,7711
Eveline,7667
Maja,7623
Judith,7590
Jennifer,7454
Françoise,7373
Elsbeth,7357
Eliane,7343
Madeleine,7343
Lena,7286
Renate,7253
Michèle,7250
Bettina,7210
Christiane,7172
Hedwig,7158
Jana,7099
Aline,7051
Olivia,6925
Sofia,6895
Bernadette,6866
Carla,6830
Selina,6734
Helena,6726
Mirjam,6703
Valentina,6673
Nadja,6626
Linda,6616
Lina,6609
Astrid,6599
Brigitta,6569
Stephanie,6467
Elisa,6402
Lucia,6329
Priska,6322
Alina,6314
Giulia,6251
Livia,6250
Valérie,6213
Ramona,6180
Theresia,6166
Regina,6162
Leonie,6057
Iris,6051
Mia,6049
Nora,6023
Sonia,6001
Cristina,5984
Hanna,5973
Alessia,5948
Monica,5874
Dominique,5817
Paula,5796
Magdalena,5777
Beatrix,5762
Agnes,5734
Julie,5699
Patrizia,5641
Annemarie,5620
Marion,5587
Isabel,5559
Helene,5557
Stéphanie,5524
Vera,5500
Elsa,5468
Klara,5424
Emilie,5402
Véronique,5320
Miriam,5276
Lorena,5273
Jeannette,5266
Liliane,5266
Myriam,5264
Margrith,5257
Luana,5207
Christa,5170
Sibylle,5073
Katja,5057
Olga,5055
Sylvie,5050
Sylvia,5049
Marlise,5018
Rebecca,5006
Claudine,4927
Noemi,4901
Nelly,4878
Ida,4851
Larissa,4844
Francesca,4774
Isabella,4690
Lydia,4685
Jolanda,4680
Deborah,4583
Veronika,4534
Michaela,4495
Martine,4489
Sophia,4457
Mara,4451
Florence,4425
Margaretha,4411
Milena,4388
Ingrid,4331
Evelyne,4259
Emilia,4252
Irma,4251
Fiona,4239
Simona,4233
Corina,4232
Melissa,4222
Marta,4203
Carole,4164
Lia,4141
Liselotte,4141
Laurence,4128
Mélanie,4116
Camille,4109
Sandrine,4101
Danielle,4085
Suzanne,4074
Cécile,4036
Adriana,4014
Luzia,4011
Clara,4005
Béatrice,3984
Antonia,3964
Lucie,3934
Katrin,3923
Gabriele,3918
Luisa,3917
Kathrin,3903
Gisela,3896
Hildegard,3880
Natalie,3880
Amélie,3735
Renata,3733
Maya,3702
Léa,3697
Victoria,3693
Teresa,3686
Chloé,3661
Frieda,3629
Sina,3621
Josiane,3584
Silvana,3543
Erna,3507
Ivana,3506
Joëlle,3468
Jeannine,3460
Pascale,3453
Alessandra,3445
Bianca,3431
Gabriella,3424
Samira,3424
Claire,3399
Alicia,3394
Ines,3372
Paola,3371
Kim,3353
Marisa,3349
Sabina,3349
Mathilde,3345
Melina,3334
Marianna,3332
Zoé,3332
Valeria,3307
Cindy,3285
Angelina,3270
Hélène,3265
Natalia,3235
Tina,3230
Elvira,3207
Ella,3188
Elodie,3172
Flavia,3163
Annette,3122
Angelika,3101
Rachel,3081
Pauline,3068
Tania,3068
Dorothea,3062
Seraina,3053
Anne-Marie,3031
Joana,3028
Liliana,2997
Tatiana,2986
Thi,2974
Elin,2963
Antoinette,2945
Aurélie,2942
Ariane,2935
Irina,2928
Giovanna,2918
Muriel,2912
Natascha,2910
Elina,2896
Mireille,2888
Emily,2883
Louise,2868
Amanda,2864
Mila,2858
Jeanne,2851
Marija,2849
Carolina,2847
Noémie,2820
Salome,2818
Francine,2810
Kristina,2800
Debora,2789
Fanny,2786
Manon,2783
Sarina,2755
Yvette,2754
Katia,2738
Helga,2721
Giuseppina,2702
Viviane,2701
Marlene,2693
Jasmine,2688
Anaïs,2686
Jenny,2682
Ladina,2675
Fatima,2671
Jelena,2643
Margareta,2634
Laetitia,2624
Lilian,2621
Lynn,2602
Margaritha,2579
Marguerite,2571
Stefania,2543
Helen,2534
Aurora,2524
Audrey,2510
Virginie,2504
Marlies,2497
Anouk,2491
Carmela,2487
Antonella,2482
Tatjana,2477
Samantha,2475
Gabrielle,2468
Stella,2455
Carina,2441
Evelyn,2432
Annina,2430
Rebekka,2430
Irène,2423
Svenja,2393
Naomi,2389
Margot,2372
Leila,2364
Ronja,2324
Saskia,2320
Kerstin,2315
Tiziana,2308
Christelle,2284
Fatma,2281
Romina,2264
Estelle,2256
Caterina,2253
Annamarie,2225
Mariana,2223
Aleksandra,2215
Zoe,2210
Amina,2209
Hannah,2199
Susana,2193
Désirée,2179
Rose,2177
Juliette,2176
Arlette,2175
Lilly,2170
Delphine,2168
Anina,2130
Beatriz,2116
Jael,2106
Bertha,2104
Berta,2095
Tabea,2087
Geneviève,2079
Yara,2072
Anastasia,2068
Gerda,2053
Leandra,2051
Delia,2043
Josette,2043
Colette,2039
Alma,2037
Veronica,2036
Eleonora,1995
Séverine,1991
Gina,1973
Elise,1964
Laure,1931
Pamela,1929
Selma,1919
Natacha,1913
Amelia,1901
Mira,1896
Lidia,1864
Justine,1853
Franca,1850
Daria,1845
Ilona,1836
Alena,1831
Yolanda,1829
Lotti,1828
Antonietta,1825
Thérèse,1825
Alexia,1817
Birgit,1815
Luna,1786
Magali,1769
Soraya,1768
Cynthia,1765
Fernanda,1758
Gisèle,1756
Marine,1754
Rosemarie,1753
Emine,1747
Danièle,1746
Loredana,1746
Marlis,1738
Jasmina,1730
Mary,1725
Géraldine,1721
Serena,1711
Morgane,1708
Katarina,1706
Hilda,1704
Marie-Louise,1704
Annika,1703
Roberta,1701
Svetlana,1697
Michela,1693
Ilaria,1690
Juliana,1683
Micheline,1683
Gloria,1678
Graziella,1674
Ursina,1674
Sylviane,1665
Elizabeth,1660
Irmgard,1655
Marlène,1650
Célia,1643
Carine,1636
Celine,1630
Aurelia,1624
Ulrike,1624
Joanna,1621
Elfriede,1616
Elif,1612
Cäcilia,1604
Karen,1601
Agnès,1575
Mina,1575
Suzana,1573
Cecilia,1570
Leana,1569
Marlyse,1569
Vesna,1568
Bruna,1560
Cinzia,1560
Mirjana,1559
Leona,1553
Annelise,1549
Karine,1542
Andreia,1533
Dina,1533
Janina,1530
Ingeborg,1525
Jocelyne,1519
Myrta,1517
Susan,1514
Inès,1513
Amelie,1510
Georgette,1506
Matilde,1501
Christel,1497
Marlen,1494
Heidy,1489
Hana,1485
Coralie,1480
Virginia,1472
Pierrette,1470
Flurina,1467
Dragana,1462
Jade,1455
Josefina,1444
Valerie,1437
Amy,1425
Luciana,1421
Lucy,1417
Jeanine,1414
Lily,1414
Océane,1414
Gordana,1413
Giada,1412
Heike,1411
Mélissa,1404
Margarita,1402
Annick,1391
Ayse,1390
Noelia,1387
Danijela,1384
Dana,1383
Prisca,1383
Gianna,1380
Sanja,1378
Lou,1377
Dagmar,1372
Vivienne,1363
Andrée,1362
Renée,1362
Elke,1361
Valentine,1361
Viola,1361
Hannelore,1356
Rose-Marie,1356
Federica,1353
Filomena,1353
Adelina,1349
Eliana,1344
Rosanna,1337
Raquel,1330
Catarina,1329
Mona,1325
Josefine,1322
Laila,1320
Yasmin,1314
Aylin,1311
Roswitha,1311
Lana,1310
Dolores,1309
Letizia,1309
Murielle,1307
Léonie,1305
Emmanuelle,1302
Alyssa,1301
Fatime,1295
Yasmine,1288
Aida,1283
Nancy,1282
Margaux,1280
Slavica,1279
Melisa,1276
Erica,1263
Louisa,1263
Huguette,1262
Raymonde,1262
Paulina,1258
Yolande,1244
Ginette,1238
Gaëlle,1234
Giuliana,1229
Concetta,1227
Elisabetta,1227
Kelly,1224
Alisha,1221
Amandine,1221
Marie-Thérèse,1219
Belinda,1216
Ariana,1212
Milica,1211
Nada,1210
Elisabetha,1201
Solange,1200
Biljana,1198
Anabela,1195
Leyla,1192
Margherita,1189
Ellen,1187
Romana,1187
Violeta,1185
Diane,1184
Corinna,1176
Mirella,1175
Xenia,1173
Jutta,1166
Ljiljana,1166
Hatice,1164
Marie-Claire,1164
Lucienne,1161
Amira,1159
Joy,1155
Giorgia,1150
Enya,1149
Meret,1146
Snezana,1143
Sheila,1141
Karolina,1138
Annalise,1137
Medina,1136
Celina,1133
Liana,1131
Eline,1128
Alissa,1122
Agatha,1115
Malin,1115
Jara,1110
Nuria,1104
Sharon,1100
Irena,1098
Lejla,1097
Lilli,1096
Viktoria,1091
Liv,1087
Marcelle,1085
Sybille,1085
Alisa,1083
Josephine,1083
Tiffany,1079
Andrina,1078
Carola,1076
Nelli,1074
Marie-Claude,1073
Ava,1070
Romy,1068
Germaine,1067
Inês,1065
Melinda,1061
Annie,1059
Angelica,1056
Jeanette,1053
Ute,1046
Arianna,1045
Dragica,1045
Maeva,1045
Flora,1043
Zita,1042
Camilla,1041
Natasa,1039
Alba,1038
Emanuela,1034
Paulette,1033
Alea,1030
Anneliese,1030
Odette,1028
Marietta,1027
Katarzyna,1024
Leonora,1024
Giuseppa,1023
Zeynep,1023
Fabiana,1021
Tara,1020
Merita,1017
Salomé,1009
Maude,998
Francisca,996
Greta,995
Miranda,994
Selin,993
Anne-Lise,989
Silke,989
Rosina,986
Maëlle,983
Malea,980
Leticia,978
Henriette,975
Inge,975
Leonor,975
Noëlle,974
Catia,968
Roxane,966
Beate,965
Raffaella,963
Carol,957
Daisy,951
Elisabete,946
Amalia,945
Margarete,945
Raphaela,938
Agnieszka,937
Ornella,931
Luise,929
Vivien,929
Anisa,925
Viviana,924
Zorica,920
Jill,918
Karina,917
Aude,916
Gioia,914
Morena,911
Josefa,910
Domenica,908
Ekaterina,908
Damaris,906
Rosaria,906
Odile,902
Rina,901
Angélique,899
Azra,899
Ilse,896
Yael,892
Gilberte,888
Lise,868
Dijana,867
Ema,867
Albina,863
Eleni,863
Gaia,860
Lola,859
Marilena,857
Claude,855
Sónia,854
Aurore,848
Sigrid,842
Waltraud,837
Ela,834
Matilda,833
Annelies,830
Adeline,829
Annamaria,829
Edona,825
Ester,824
Fabiola,822
Jane,822
Celia,820
Grazia,819
Clémence,816
Seline,809
Malika,807
Elea,806
Marijana,805
Ada,798
Teuta,793
Dilara,791
Arta,789
Emina,787
Malgorzata,786
Ewa,785
Lotte,785
Tânia,783
Agathe,781
Line,779
Hermine,776
Joelle,774
Noa,774
Vlora,768
Priscilla,764
Ina,763
Margarida,763
Vincenza,761
Beata,760
Arlinda,759
Gudrun,757
Marie-Christine,757
Anika,756
Carolin,756
Eliza,752
Shqipe,751
Alison,750
Esma,750
Juliane,750
Iva,746
Zahra,745
Romane,744
Marielle,743
Ljubica,739
Timea,739
Antje,736
María,734
Vittoria,734
Blerta,733
Drita,733
Eloïse,732
Marcia,732
Käthi,731
Rosalia,731
Elma,730
Erina,730
Liridona,729
Meryem,727
Raffaela,725
Norah,724
Adrienne,723
Marika,721
Marinette,720
Zora,720
Kiara,719
Maryam,719
Sandy,719
Rosalie,717
Myrtha,716
Nicoletta,715
Shpresa,713
Adele,712
Jovana,709
Ayla,707
Lilia,704
Maryline,704
Mercedes,700
Claire-Lise,698
Cristiana,698
Cátia,696
Ruzica,695
Charline,694
Moira,694
Tenzin,693
Alexa,692
Joséphine,692
Anke,688
Ilenia,687
Léna,684
Mariette,684
Agata,683
Asia,683
