Vorname,Total
Daniel,62551
Peter,57804
Thomas,52643
Hans,49746
Christian,42267
Martin,40927
Andreas,40191
Michael,39834
Markus,37759
Marco,32823
David,32204
Patrick,31137
Stefan,30826
Bruno,27922
Walter,27361
Urs,27012
René,24968
Marcel,24675
Roland,23650
Simon,22885
Pascal,22497
Werner,21456
Marc,21333
Beat,21102
Paul,20143
Roger,20013
Manuel,19837
André,19532
Kurt,19410
Luca,19334
Josef,18778
Rolf,18716
Nicolas,18316
Antonio,17954
Heinz,17776
Michel,17720
Samuel,17620
Rudolf,17595
Robert,17567
Christoph,17446
Adrian,17010
Jean,16784
José,16419
Lukas,16198
Ernst,15249
Reto,15129
Mario,14942
Fabian,14856
Philippe,14793
Alexander,14393
Matthias,14223
Philipp,13991
Alfred,13593
Benjamin,13589
Stephan,13586
Florian,13496
Jürg,13402
Jan,13281
Pierre,13261
Kevin,12423
Anton,12420
Giuseppe,12388
Franz,12092
Fabio,12072
Roman,11963
Max,11782
Johann,11727
Oliver,11409
Sandro,11177
Tobias,11118
Dominik,11076
Jonas,10970
Ulrich,10770
Alain,10594
Gabriel,10466
Olivier,10443
Fritz,9996
Karl,9996
Noah,9885
Alexandre,9870
Francesco,9732
Raphael,9543
Eric,9518
Felix,9438
Dario,9425
Claudio,9386
Bernhard,9197
Alessandro,9101
Claude,8574
Yves,8410
Robin,8382
Richard,8277
Carlos,8244
Sven,8162
Matteo,8098
Erich,8028
Albert,8019
Ivan,7987
Julien,7840
Remo,7785
Roberto,7757
Andrea,7699
Christophe,7653
Giovanni,7587
Laurent,7561
Tim,7550
Nico,7431
Vincent,7394
Hugo,7340
Jakob,7340
Louis,7338
Joel,7186
Jonathan,7163
Luis,7078
Stéphane,7035
Diego,7031
Cédric,7000
Nicola,6995
Julian,6993
Sebastian,6988
Erwin,6929
François,6919
Bernard,6841
Thierry,6786
Ali,6550
Frédéric,6473
Sébastien,6347
Mathias,6335
Elias,6316
Guido,6286
Rafael,6079
Lucas,6072
Jörg,6065
Gian,6059
Jacques,6037
Leon,5987
Valentin,5941
Denis,5910
Lars,5907
Armin,5873
Alex,5857
Arthur,5830
Salvatore,5796
Silvan,5758
Joël,5751
Heinrich,5678
Sascha,5567
Yannick,5517
Michele,5511
Leo,5477
Davide,5449
Angelo,5430
Dominic,5383
Leandro,5314
Johannes,5286
Dominique,5256
Loris,5203
Stefano,5170
Charles,5167
Jean-Pierre,5152
Pedro,5114
Patrik,5063
Fernando,5027
Georg,4984
Alois,4898
Manfred,4838
Frank,4788
Mauro,4730
Jérôme,4721
Paulo,4711
Herbert,4705
Nils,4693
Raphaël,4674
Luigi,4669
Gerhard,4621
Liam,4576
Alessio,4548
Leonardo,4545
Eduard,4504
Ricardo,4443
Vincenzo,4438
Daniele,4431
Otto,4430
Mohamed,4409
Maxime,4403
Paolo,4403
Lionel,4389
Carlo,4386
Lorenzo,4370
Willi,4334
Emil,4323
Renato,4315
Francisco,4314
Sergio,4285
Mike,4238
Juan,4226
Jorge,4171
Mattia,4154
Antoine,4141
Hermann,4118
Nathan,4105
Elia,4096
Timo,4068
Ramon,4052
Georges,4017
Miguel,4016
John,4015
Serge,3979
Ivo,3972
Aaron,3963
Dieter,3962
Franco,3953
Livio,3949
Romain,3937
Willy,3933
Flavio,3845
Niklaus,3829
Silvio,3808
Severin,3792
Levin,3785
Loïc,3763
Tiago,3757
Andrin,3741
João,3735
Domenico,3724
Kilian,3680
Friedrich,3644
Guillaume,3628
Hanspeter,3623
Jean-Claude,3610
Joseph,3605
Anthony,3596
Mathieu,3576
Dylan,3574
Yann,3556
Pietro,3530
Damian,3524
Didier,3519
Massimo,3518
Mark,3514
Moritz,3501
Gilbert,3488
Victor,3448
Alberto,3443
Fabrice,3408
Jose,3353
Mehmet,3347
António,3309
Gérard,3284
Maurice,3284
Nino,3282
Wolfgang,3267
Marko,3251
Rui,3250
William,3247
Norbert,3225
Pius,3223
Enrico,3204
Ben,3203
Maximilian,3200
Colin,3171
Damien,3144
Raymond,3119
Adrien,3095
Christopher,3084
Ruben,3061
Cyril,3048
Joshua,3041
Maurizio,3039
Luc,3028
Viktor,3027
Adam,3013
Ralph,3008
Philip,2997
Wilhelm,2960
Marius,2948
Gilles,2932
Arnaud,2863
Riccardo,2852
Emanuel,2843
Francis,2822
Theodor,2822
Linus,2821
Xavier,2820
Lorenz,2798
Jean-Marc,2780
Klaus,2780
Giorgio,2760
Nikola,2743
Janis,2737
Quentin,2730
Simone,2725
Konrad,2722
Aleksandar,2694
Nuno,2694
Joao,2688
